1,1,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999,177.26896759480996
3,3,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999,370.58772742248846
5,5,2MASS J00332386-1521309 [de],131.0,0.027683052,0.1469510899999999,351.5444502517654
7,7,2MASS 0036+1821,28.6,0.040092696,0.0965972199999999,1178.2783731690538
8,8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.24617075503866
9,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999,176.0146695743322
11,11,2MASS J00584253-0651239 [de],96.0,0.027683052,0.1469510899999999,351.5444502517654
13,13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,1342.1637826419828
14,14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.90971370003365
15,15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.26370612027634
17,17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.0996801099999999,1238.2510720488551
18,18,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.84103954708715
19,19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.90971370003365
20,20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,336.65096376258657
22,22,LP 771-21,53.0,0.074457864,0.11098404,1657.6827377177954
24,24,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,446.33452106972277
26,26,DEN 0255-4700,16.2,0.07636704,0.0996801099999999,2107.661399232094
28,28,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,1649.4582015812664
29,29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.90261668221936
31,31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999,264.0220043614983
33,33,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,1673.0561040268533
35,35,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1663.8242310631865
37,37,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,1567.6425869150494
38,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.53549852753014
40,40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.1344251641056
